Team 1,Team 1 Score,Team 2,Team 2 Score,Date
Ohio St.,1,Loyola Chicago,3,04-13-2019
Grand Canyon,0,USC,3,04-13-2019
St. Francis (Pa.),2,NJIT,3,04-13-2019
BYU,3,Stanford,2,04-13-2019
Limestone,0,Barton,3,04-17-2019
North Greenville,0,King (Tenn.),3,04-17-2019
McKendree,0,Lewis,3,04-17-2019
Fort Wayne,1,Loyola Chicago,3,04-17-2019
CSUN,2,UC Santa Barb.,3,04-18-2019
BYU,0,Pepperdine,3,04-18-2019
St. Francis (Pa.),0,Princeton,3,04-18-2019
UC San Diego,0,UC Irvine,3,04-18-2019
Penn St.,3,George Mason,2,04-18-2019
USC,3,UCLA,1,04-18-2019
King (Tenn.),2,Barton,3,04-18-2019
UC Santa Barb.,1,Long Beach St.,3,04-19-2019
UC Irvine,0,Hawaii,3,04-19-2019
Long Beach St.,2,Hawaii,3,04-20-2019
USC,0,Pepperdine,3,04-20-2019
Penn St.,2,Princeton,3,04-20-2019
Loyola Chicago,0,Lewis,3,04-20-2019
Princeton,3,Barton,1,04-25-2019
Lewis,3,USC,1,04-30-2019
Princeton,2,Pepperdine,3,04-30-2019
Lewis,1,Hawaii,3,05-02-2019
Pepperdine,1,Long Beach St.,3,05-02-2019
Long Beach St.,3,Hawaii,1,05-04-2019
Princeton,0,UC Irvine,3,12-29-2019
