Team 1,Team 1 Score,Team 2,Team 2 Score,Date
North Greenville,3,Barton,0,03-25-2022
Lees-McRae,0,Erskine,3,03-25-2022
NJIT,1,George Mason,3,03-25-2022
Lincoln Memorial,3,Queens (NC),0,03-25-2022
Harvard,0,Penn St.,3,03-25-2022
Ball St.,3,Quincy,0,03-25-2022
Ohio St.,2,Lindenwood,3,03-25-2022
BYU,3,Pepperdine,2,03-25-2022
Long Beach St.,3,UC Santa Barbara,0,03-25-2022
Southern California,1,Stanford,3,03-25-2022
UC Irvine,1,UC San Diego,3,03-25-2022
Grand Canyon,0,CUI,3,03-25-2022
CSUN,1,Hawaii,3,03-26-2022
Tusculum,1,Queens (NC),3,03-26-2022
King (TN),3,Erskine,0,03-26-2022
Belmont Abbey,3,Barton,0,03-26-2022
Lees-McRae,0,Emmanuel (GA),3,03-26-2022
North Greenville,3,Mount Olive,2,03-26-2022
Lincoln Memorial,3,Limestone,0,03-26-2022
American Int'l,0,King's (PA),3,03-26-2022
UCLA,3,Fort Valley St.,0,03-26-2022
Harvard,3,Saint Francis (PA),1,03-26-2022
American Int'l,0,Widener,3,03-26-2022
Fairleigh Dickinson,0,Daemen,3,03-26-2022
Central St. (OH),3,Alderson Broaddus,0,03-26-2022
NJIT,1,Princeton,3,03-26-2022
St. Francis Brooklyn,2,George Mason,3,03-26-2022
Purdue Fort Wayne,1,McKendree,3,03-26-2022
Ball St.,3,Lindenwood,0,03-26-2022
Sacred Heart,0,Penn St.,3,03-26-2022
Central St. (OH),3,Kentucky St.,0,03-26-2022
Ohio St.,3,Quincy,0,03-26-2022
Loyola Chicago,3,Lewis,0,03-26-2022
Southern California,3,Stanford,1,03-26-2022
BYU,0,Pepperdine,3,03-26-2022
UC Santa Barbara,1,Long Beach St.,3,03-26-2022
UC San Diego,3,UC Irvine,2,03-26-2022
Grand Canyon,3,CUI,1,03-26-2022
CSUN,0,Hawaii,3,03-27-2022
Tusculum,2,Limestone,3,03-27-2022
LIU,3,Edward Waters,0,03-27-2022
LIU,3,Edward Waters,1,03-28-2022
Queens (NC),3,Lees-McRae,0,03-29-2022
Fairleigh Dickinson,0,St. Francis Brooklyn,3,03-29-2022
Lincoln Memorial,3,King (TN),1,03-29-2022
Barton,0,Mount Olive,3,03-29-2022
Geneva,2,Alderson Broaddus,3,03-29-2022
Emmanuel (GA),3,Belmont Abbey,2,03-29-2022
UC Santa Barbara,3,UC Irvine,1,03-30-2022
Tusculum,0,King (TN),3,03-31-2022
Lewis,3,Ohio St.,1,03-31-2022
Limestone,3,Belmont Abbey,0,03-31-2022
Purdue Fort Wayne,3,Quincy,0,03-31-2022
Loyola Chicago,3,Lindenwood,0,03-31-2022
McKendree,0,Ball St.,3,03-31-2022
Stanford,0,Grand Canyon,3,03-31-2022
UCLA,3,Southern California,0,03-31-2022
CSUN,3,UC San Diego,0,03-31-2022
Pepperdine,3,CUI,0,03-31-2022
Lincoln Memorial,3,Alderson Broaddus,0,04-01-2022
Carlow,0,Lincoln Memorial,3,04-01-2022
Carlow,0,Alderson Broaddus,3,04-01-2022
Queens (NC),3,Belmont Abbey,2,04-01-2022
Kentucky St.,0,Benedict,3,04-01-2022
Sacred Heart,0,NJIT,3,04-01-2022
Fort Valley St.,3,Morehouse,0,04-01-2022
Central St. (OH),1,Edward Waters,3,04-01-2022
Emmanuel (GA),0,Mount Olive,3,04-01-2022
Harvard,3,St. Francis Brooklyn,0,04-01-2022
Erskine,3,Barton,0,04-01-2022
Daemen,1,Saint Francis (PA),3,04-01-2022
George Mason,3,Charleston (WV),1,04-01-2022
American Int'l,0,Fairleigh Dickinson,3,04-01-2022
Hawaii,1,Long Beach St.,3,04-01-2022
UC Irvine,0,UC Santa Barbara,3,04-01-2022
Kentucky St.,0,Edward Waters,3,04-02-2022
Central St. (OH),3,Benedict,1,04-02-2022
King (TN),3,Lees-McRae,0,04-02-2022
Erskine,2,Mount Olive,3,04-02-2022
Sacred Heart,2,St. Francis Brooklyn,3,04-02-2022
Emmanuel (GA),3,Barton,1,04-02-2022
Purdue Fort Wayne,3,Lindenwood,1,04-02-2022
Belmont Abbey,0,North Greenville,3,04-02-2022
Harvard,0,NJIT,3,04-02-2022
Loyola Chicago,3,Quincy,0,04-02-2022
Princeton,3,Fairleigh Dickinson,1,04-02-2022
McKendree,2,Ohio St.,3,04-02-2022
George Mason,3,Charleston (WV),2,04-02-2022
Penn St.,3,Saint Francis (PA),0,04-02-2022
Stanford,1,Grand Canyon,3,04-02-2022
Lewis,0,Ball St.,3,04-02-2022
Southern California,2,UCLA,3,04-02-2022
CUI,0,Pepperdine,3,04-02-2022
Hawaii,1,Long Beach St.,3,04-02-2022
UC San Diego,3,CSUN,0,04-02-2022
LIU,3,American Int'l,0,04-03-2022
Queens (NC),3,Mount Olive,2,04-05-2022
King (TN),3,Belmont Abbey,1,04-05-2022
Erskine,1,Emmanuel (GA),3,04-05-2022
Lees-McRae,0,North Greenville,3,04-05-2022
Central St. (OH),0,Charleston (WV),3,04-05-2022
St. Francis Brooklyn,2,LIU,3,04-05-2022
Sacred Heart,0,Springfield,3,04-06-2022
Emmanuel (GA),3,Limestone,2,04-07-2022
Ohio St.,3,Purdue Fort Wayne,2,04-07-2022
Lindenwood,0,McKendree,3,04-07-2022
Ball St.,0,Loyola Chicago,3,04-07-2022
Quincy,1,Lewis,3,04-07-2022
UCLA,3,Pepperdine,0,04-07-2022
Morehouse,0,Central St. (OH),3,04-08-2022
Fort Valley St.,3,Kentucky St.,0,04-08-2022
Mount Olive,3,Lees-McRae,1,04-08-2022
Barton,0,King (TN),3,04-08-2022
Charleston (WV),3,Harvard,1,04-08-2022
St. Francis Brooklyn,0,Penn St.,3,04-08-2022
D'Youville,3,Alderson Broaddus,2,04-08-2022
NJIT,2,Saint Francis (PA),3,04-08-2022
Edward Waters,2,Tusculum,3,04-08-2022
George Mason,3,Fairleigh Dickinson,0,04-08-2022
Sacred Heart,3,LIU,1,04-08-2022
CUI,0,Southern California,3,04-08-2022
BYU,0,Stanford,3,04-08-2022
UC San Diego,0,Long Beach St.,3,04-08-2022
UC Irvine,3,CSUN,1,04-08-2022
UC Santa Barbara,0,Hawaii,3,04-09-2022
Barton,0,Lees-McRae,3,04-09-2022
Queens (NC),3,D'Youville,0,04-09-2022
Fairleigh Dickinson,2,LIU,3,04-09-2022
Fort Valley St.,0,Central St. (OH),3,04-09-2022
Mount Olive,1,King (TN),3,04-09-2022
Belmont Abbey,2,Erskine,3,04-09-2022
North Greenville,3,Emmanuel (GA),1,04-09-2022
Tusculum,0,Lincoln Memorial,3,04-09-2022
Morehouse,0,Kentucky St.,3,04-09-2022
Queens (NC),3,Alderson Broaddus,1,04-09-2022
Lancaster Bible,1,Sacred Heart,3,04-09-2022
Edward Waters,3,Benedict,0,04-09-2022
St. Francis Brooklyn,0,Saint Francis (PA),3,04-09-2022
Charleston (WV),3,Harvard,2,04-09-2022
George Mason,0,Princeton,3,04-09-2022
Quincy,0,McKendree,3,04-09-2022
Ohio St.,3,Loyola Chicago,0,04-09-2022
Lindenwood,1,Lewis,3,04-09-2022
NJIT,0,Penn St.,3,04-09-2022
Ball St.,3,Purdue Fort Wayne,1,04-09-2022
Pepperdine,0,UCLA,3,04-09-2022
BYU,2,Stanford,3,04-09-2022
Long Beach St.,2,UC San Diego,3,04-09-2022
CSUN,0,UC Irvine,3,04-09-2022
Southern California,3,CUI,0,04-09-2022
Lees-McRae,1,Belmont Abbey,3,04-13-2022
Barton,0,Erskine,3,04-13-2022
Queens (NC),3,Limestone,1,04-14-2022
Stanford,0,Pepperdine,3,04-14-2022
St. Francis Brooklyn,1,NJIT,3,04-15-2022
Kentucky St.,0,Central St. (OH),3,04-15-2022
Fort Valley St.,2,Edward Waters,3,04-15-2022
Harvard,3,George Mason,2,04-15-2022
Sacred Heart,0,Princeton,3,04-15-2022
Penn St.,3,Charleston (WV),1,04-15-2022
Southern California,3,Grand Canyon,2,04-15-2022
UC Santa Barbara,3,CUI,0,04-15-2022
CSUN,2,Long Beach St.,3,04-15-2022
Hawaii,3,UC Irvine,0,04-15-2022
UCLA,3,BYU,1,04-15-2022
Daemen,3,D'Youville,0,04-16-2022
Sacred Heart,0,Princeton,3,04-16-2022
Morehouse,0,Edward Waters,3,04-16-2022
NJIT,3,St. Francis Brooklyn,0,04-16-2022
Harvard,3,George Mason,0,04-16-2022
Saint Francis (PA),1,Charleston (WV),3,04-16-2022
Southern California,3,Grand Canyon,0,04-16-2022
Quincy,0,Ball St.,3,04-16-2022
Ohio St.,2,Lewis,3,04-16-2022
Lindenwood,0,Loyola Chicago,3,04-16-2022
Stanford,2,Pepperdine,3,04-16-2022
Purdue Fort Wayne,3,McKendree,1,04-16-2022
UC Santa Barbara,3,UC San Diego,1,04-16-2022
Long Beach St.,3,CSUN,0,04-16-2022
Hawaii,3,UC Irvine,2,04-16-2022
UCLA,3,BYU,2,04-16-2022
Kentucky St.,0,Benedict,3,04-19-2022
Morehouse,0,Fort Valley St.,3,04-19-2022
Benedict,1,Central St. (OH),3,04-19-2022
Fort Valley St.,2,Edward Waters,3,04-19-2022
Erskine,2,Emmanuel (GA),3,04-19-2022
Belmont Abbey,2,Mount Olive,3,04-19-2022
Kentucky St.,0,Fort Valley St.,3,04-20-2022
Morehouse,0,Benedict,3,04-20-2022
Edward Waters,2,Central St. (OH),3,04-20-2022
Benedict,3,Fort Valley St.,2,04-20-2022
George Mason,1,NJIT,3,04-20-2022
CUI,0,Southern California,3,04-20-2022
Lewis,0,Ball St.,3,04-20-2022
Saint Francis (PA),0,Princeton,3,04-20-2022
BYU,2,Pepperdine,3,04-20-2022
Purdue Fort Wayne,3,Loyola Chicago,0,04-20-2022
Purdue Fort Wayne,3,Loyola Chicago,0,04-20-2022
Stanford,3,Grand Canyon,1,04-20-2022
Benedict,0,Edward Waters,3,04-21-2022
Edward Waters,2,Central St. (OH),3,04-21-2022
NJIT,3,Harvard,1,04-21-2022
Princeton,3,Penn St.,2,04-21-2022
Stanford,3,UCLA,2,04-21-2022
Pepperdine,3,Southern California,1,04-21-2022
UC Irvine,3,UC San Diego,0,04-21-2022
Edward Waters,,Central St. (OH),,04-21-2022
CSUN,0,UC Santa Barbara,3,04-22-2022
Limestone,3,Fairleigh Dickinson,0,04-22-2022
Alderson Broaddus,0,Lincoln Memorial,3,04-22-2022
D'Youville,0,Queens (NC),3,04-22-2022
Tusculum,0,Daemen,3,04-22-2022
Alderson Broaddus,1,Fairleigh Dickinson,3,04-22-2022
Limestone,0,Lincoln Memorial,3,04-22-2022
Emmanuel (GA),0,North Greenville,3,04-22-2022
Mount Olive,3,King (TN),1,04-22-2022
Tusculum,3,D'Youville,0,04-22-2022
Daemen,3,Queens (NC),1,04-22-2022
UC Irvine,1,Long Beach St.,3,04-22-2022
UC Santa Barbara,0,Hawaii,3,04-23-2022
Tusculum,3,Fairleigh Dickinson,2,04-23-2022
Alderson Broaddus,0,D'Youville,3,04-23-2022
Limestone,0,Queens (NC),3,04-23-2022
Daemen,0,Lincoln Memorial,3,04-23-2022
Mount Olive,2,North Greenville,3,04-23-2022
Purdue Fort Wayne,0,Ball St.,3,04-23-2022
Princeton,3,NJIT,1,04-23-2022
Stanford,2,Pepperdine,3,04-23-2022
Long Beach St.,0,Hawaii,3,04-24-2022
North Greenville,3,Princeton,0,05-01-2022
Pepperdine,1,UCLA,3,05-03-2022
North Greenville,0,Hawaii,3,05-03-2022
UCLA,2,Long Beach St.,3,05-05-2022
Hawaii,3,Ball St.,2,05-05-2022
Long Beach St.,0,Hawaii,3,05-07-2022
