,Team 1,Team 1 Score,Team 2,Team 2 Score
703,Lindenwood,0,Loyola Chicago,3
704,Stanford,3,Menlo,0
705,UC Santa Barbara,3,CSUN,2
706,Grand Canyon,1,Southern California,3
707,UC Irvine,3,Long Beach St.,0
708,UC San Diego,0,Hawaii,3
709,Rockhurst,3,Cent. Christian (KS),0
710,Rockhurst,3,Cent. Christian (KS),0
711,Edward Waters,3,LeMoyne-Owen,0
712,Life (GA),1,Barry,3
713,St. Thomas Aquinas,3,American Int'l,0
714,Daemen,0,LIU,3
715,Central St. (OH),0,Fort Valley St.,3
716,George Mason,0,Harvard,3
717,Queens (NC),2,Lewis,3
718,Charleston (WV),3,Penn St.,1
719,Lees-McRae,1,Belmont Abbey,3
720,Erskine,0,Mount Olive,3
721,Emmanuel (GA),0,Barton,3
722,North Greenville,3,King (TN),0
723,Maryville (MO),3,Edward Waters,0
724,Saint Francis,3,FDU,0
725,Princeton,3,Sacred Heart,0
726,D'Youville,0,NJIT,3
727,Maryville (MO),3,LeMoyne-Owen,0
728,McKendree,1,Ball St.,3
729,Quincy,1,Purdue Fort Wayne,3
730,Grand Canyon,1,Southern California,3
731,UCLA,3,Pepperdine,1
732,Long Beach St.,3,UC Irvine,0
733,Menlo,0,Stanford,3
734,CSUN,1,UC Santa Barbara,3
735,CUI,3,Vanguard,2
736,UC San Diego,1,Hawaii,3
737,D'Youville,3,Dominican (NY),1
738,Daemen,0,Harvard,3
739,Maryville (MO),3,LeMoyne-Owen,0
740,North Greenville,3,Tusculum,2
741,Quincy,0,Rockhurst,3
742,UC Merced,0,Jessup,3
743,McKendree,3,Missouri S&T,1
744,Catawba,1,Belmont Abbey,3
745,American Int'l,0,Nichols,3
746,Simpson (CA),0,Jessup,3
747,Loyola Chicago,3,Queens (NC),0
748,Ball St.,1,Ohio St.,3
749,Lewis,3,Purdue Fort Wayne,0
750,Stanford,0,BYU,3
751,Pepperdine,1,Southern California,3
752,Long Beach St.,3,UC Santa Barbara,1
753,Benedict,1,Central St. (OH),3
754,LeMoyne-Owen,0,Fort Valley St.,3
755,Sacred Heart,0,Penn St.,3
756,LIU,3,D'Youville,0
757,Dominican (NY),0,Harvard,3
758,NJIT,3,Charleston (WV),1
759,George Mason,1,Princeton,3
760,Lincoln Memorial,3,Barton,0
761,Tusculum,3,Catawba,1
762,Lindenwood,3,Quincy,1
763,Roosevelt,0,Maryville (MO),3
764,Hawaii,0,CSUN,3
765,UCLA,0,Grand Canyon,3
766,Stanford,1,BYU,3
767,UC Irvine,1,UC San Diego,3
768,Jessup,3,Vanguard,2
769,CUI,1,Menlo,3
770,UC Santa Barbara,0,Long Beach St.,3
771,American Int'l,0,Dominican (NY),3
772,St. Thomas Aquinas,3,Roberts Wesleyan,0
773,Lincoln Memorial,3,Mount Olive,1
774,LeMoyne-Owen,0,Fort Valley St.,3
775,NJIT,3,Charleston (WV),0
776,Loyola Chicago,3,Queens (NC),0
777,Belmont Abbey,3,Emmanuel (GA),1
778,Erskine,0,North Greenville,3
779,Sacred Heart,1,Penn St.,3
780,Jessup,2,Vanguard,3
781,Benedict,3,Central St. (OH),2
782,LIU,3,D'Youville,1
783,Missouri S&T,2,Rockhurst,3
784,George Mason,0,Princeton,3
785,Lewis,1,Ohio St.,3
786,FDU,1,Daemen,3
787,Quincy,2,McKendree,3
788,Ball St.,1,Purdue Fort Wayne,3
789,UCLA,3,Grand Canyon,2
790,Southern California,1,Pepperdine,3
791,Hawaii,3,CSUN,0
792,UC San Diego,0,UC Irvine,3
793,CUI,0,Menlo,3
794,FDU,1,Daemen,3
795,Lincoln Memorial,3,Lees-McRae,0
796,Roosevelt,3,Trinity Christian,0
797,Edward Waters,1,Fort Valley St.,3
798,Merrimack,3,Springfield,1
799,Missouri S&T,1,Maryville (MO),3
800,Charleston (WV),3,Thomas More,0
801,Queens (NC),1,Lindenwood,3
802,Loyola Chicago,0,Lewis,3
803,UC San Diego,2,CSUN,3
804,UC Irvine,3,UC Santa Barbara,2
805,Jessup,1,Pepperdine,3
806,Thomas More,0,Maryville (MO),3
807,Jessup,0,Pepperdine,3
808,Catawba,3,Tusculum,2
809,King (TN),0,Lincoln Memorial,3
810,Penn St.,3,George Mason,2
