,Team 1,Team 1 Score,Team 2,Team 2 Score
694,Ball St.,2,Lewis,3
695,Purdue Fort Wayne,3,Quincy,0
696,Central St. (OH),0,Webber Int'l,3
697,Ohio St.,1,Lindenwood,3
698,Stanford,0,UCLA,3
699,CUI,0,BYU,3
700,CSUN,0,UC Irvine,3
701,Long Beach St.,3,UC San Diego,0
702,Pepperdine,3,Southern California,1
703,CarolinaU,,Morehouse,
704,Life (GA),,Morehouse,
705,UC Santa Barbara,2,Hawaii,3
706,Central St. (OH),3,Warner,1
707,Reinhardt,3,Fort Valley St.,1
708,Lees-McRae,0,Belmont Abbey,3
709,King (TN),0,North Greenville,3
710,Lindenwood,3,Queens (NC),0
711,Daemen,3,Roberts Wesleyan,0
712,McKendree,2,Ohio St.,3
713,Midway,0,Thomas More,3
714,Lewis,2,Purdue Fort Wayne,3
715,Maryville (MO),3,Central St. (OH),2
716,Quincy,0,Ball St.,3
717,LIU,3,Sacred Heart,0
718,Edward Waters,2,Webber Int'l,3
719,Master's,3,Pepperdine,2
720,Saint Francis (PA),3,D'Youville,1
721,Fort Valley St.,3,Kentucky St.,0
722,American Int'l,0,Dominican (NY),3
723,Harvard,0,George Mason,3
724,Barton,0,Erskine,3
725,FDU,3,Merrimack,1
726,Penn St.,3,Charleston (WV),1
727,NJIT,0,Princeton,3
728,Mount Olive,3,Emmanuel (GA),1
729,Maryville (MO),0,Ohio St.,3
730,UC San Diego,2,UC Santa Barbara,3
731,Hawaii,0,UC Irvine,3
732,Grand Canyon,0,UCLA,3
733,CSUN,0,Long Beach St.,3
734,BYU,3,Southern California,1
735,Stanford,3,CUI,2
736,Lindenwood,3,Queens (NC),1
737,Tusculum,0,Lincoln Memorial,3
738,Barton,3,Emmanuel (GA),2
739,American Int'l,0,MIT,3
740,Fort Valley St.,3,Central St. (OH),0
741,Mount Olive,0,Erskine,3
742,Lees-McRae,0,North Greenville,3
743,Benedict,0,Edward Waters,3
744,King (TN),0,Belmont Abbey,3
745,Penn St.,3,Charleston (WV),0
746,Saint Francis (PA),3,D'Youville,1
747,Harvard,0,George Mason,3
748,Roberts Wesleyan,0,Daemen,3
749,LIU,1,Merrimack,3
750,Quincy,0,Purdue Fort Wayne,3
751,FDU,3,Sacred Heart,1
752,McKendree,2,Ball St.,3
753,Lewis,0,Loyola Chicago,3
754,Grand Canyon,2,UCLA,3
755,Long Beach St.,3,CSUN,0
756,Hawaii,3,UC Irvine,1
757,BYU,2,Southern California,3
758,Stanford,3,CUI,1
759,Warner,0,Edward Waters,3
760,Springfield,3,Sacred Heart,2
